adsh,grp,arc,negative,ptag,pversion,ctag,cversion
0001193125-24-075464,10,30,1,EquityAttributableToOwnersOfParent,ifrs/2023,AccumulatedOtherComprehensiveIncome,ifrs/2023
0001193125-24-075464,25,2,1,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023,AdjustmentsForDecreaseIncreaseInInventories,ifrs/2023
0001193125-24-075464,25,6,1,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023,AdjustmentsForDecreaseIncreaseInOtherAssets,ifrs/2023
0001193125-24-075464,25,1,1,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023,AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,ifrs/2023
0001193125-24-075464,14,5,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,AdjustmentsForFairValueGainsLosses,ifrs/2023
0001193125-24-075464,14,4,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,AdjustmentsForIncreaseDecreaseInDeferredIncomeIncludingContractLiabilities,ifrs/2023
0001193125-24-075464,25,4,1,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023,AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables,ifrs/2023
0001193125-24-075464,14,7,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets,ifrs/2023
0001193125-24-075464,25,5,1,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023,AdjustmentsForProvisions,ifrs/2023
0001193125-24-075464,14,6,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,AdjustmentsForSharebasedPayments,ifrs/2023
0001193125-24-075464,1,8,-1,ProfitLossFromOperatingActivities,ifrs/2023,AdministrativeExpense,ifrs/2023
0001193125-24-075464,8,2,-1,Nettradereceivables,0001193125-24-075464,AllowanceAccountForCreditLossesOfFinancialAssets,ifrs/2023
0001193125-24-075464,15,5,-1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,BorrowingsRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,10,2,1,CurrentAssets,ifrs/2023,CashAndCashEquivalents,ifrs/2023
0001193125-24-075464,6,2,1,FinancialAssets,ifrs/2023,CashAndCashEquivalents,ifrs/2023
0001193125-24-075464,3,1,1,NetAssetsLiabilities,ifrs/2023,CashAndCashEquivalents,ifrs/2023
0001193125-24-075464,11,4,-1,LongtermBorrowingsNetOfCashAndCashEquivalent,0001193125-24-075464,CashAndCashEquivalents,ifrs/2023
0001193125-24-075464,16,1,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,CashAndCashEquivalentsRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,14,24,1,IncreaseDecreaseInCashAndCashEquivalents,ifrs/2023,CashFlowsFromUsedInFinancingActivities,ifrs/2023
0001193125-24-075464,14,18,1,IncreaseDecreaseInCashAndCashEquivalents,ifrs/2023,CashFlowsFromUsedInInvestingActivities,ifrs/2023
0001193125-24-075464,14,1,1,IncreaseDecreaseInCashAndCashEquivalents,ifrs/2023,CashFlowsFromUsedInOperatingActivities,ifrs/2023
0001193125-24-075464,14,20,-1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-075464,23,8,1,ComprehensiveIncome,ifrs/2023,ComprehensiveIncomeAttributableToNoncontrollingInterests,ifrs/2023
0001193125-24-075464,23,7,1,ComprehensiveIncome,ifrs/2023,ComprehensiveIncomeAttributableToOwnersOfParent,ifrs/2023
0001193125-24-075464,15,6,-1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,ContractLiabilitiesRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,1,5,-1,GrossProfit,ifrs/2023,CostOfSales,ifrs/2023
0001193125-24-075464,10,1,1,Assets,ifrs/2023,CurrentAssets,ifrs/2023
0001193125-24-075464,3,6,-1,NetAssetsLiabilities,ifrs/2023,CurrentLiabilities,ifrs/2023
0001193125-24-075464,10,15,1,EquityAndLiabilities,ifrs/2023,CurrentLiabilities,ifrs/2023
0001193125-24-075464,16,7,-1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,CurrentLiabilitiesRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,19,2,1,Inventories,ifrs/2023,CurrentOreStockpiles,ifrs/2023
0001193125-24-075464,6,9,1,FinancialLiabilities,ifrs/2023,CurrentPortionOfLongtermBorrowings,ifrs/2023
0001193125-24-075464,11,2,1,LongtermBorrowingsNetOfCashAndCashEquivalent,0001193125-24-075464,CurrentPortionOfLongtermBorrowings,ifrs/2023
0001193125-24-075464,7,2,1,NetFinancialInstruments,0001193125-24-075464,CurrentPortionOfLongtermBorrowings,ifrs/2023
0001193125-24-075464,10,18,1,CurrentLiabilities,ifrs/2023,CurrentPortionOfLongtermBorrowings,ifrs/2023
0001193125-24-075464,5,1,1,Borrowings,ifrs/2023,CurrentPortionOfLongtermBorrowings,ifrs/2023
0001193125-24-075464,10,7,1,CurrentAssets,ifrs/2023,CurrentPrepayments,ifrs/2023
0001193125-24-075464,10,20,1,CurrentLiabilities,ifrs/2023,CurrentProvisions,ifrs/2023
0001193125-24-075464,2,1,-1,PostemploymentBenefitExpenseDefinedBenefitPlans,ifrs/2023,CurrentServiceCostNetDefinedBenefitLiabilityAsset,ifrs/2023
0001193125-24-075464,10,5,1,CurrentAssets,ifrs/2023,CurrentTaxAssetsCurrent,ifrs/2023
