dimhash,segments,segt
0x3228f6ffcdd96d6792b16797ce3c0af1,ClassesOfLiabilities=OtherLiabilities;,0
0xa259e3685246ffa265556e93a388767f,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2043;,0
0x7d8bc579752aaa68dc5cda358069e04d,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2040;,0
0x98f66b89f04c51424a275bf4a054eb1a,Maturity=LaterThanFiveYears;,0
0x0904195e947f584a8e500694ec9c0ca3,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2034;,0
0xe3643efda4e863e25197b4a97cf77563,Maturity=LaterThanTwoYearsAndNotLaterThanThreeYears;Segments=FuelServices;,0
0x5c27984d7fee012bf2bb7a1dadf67794,DefinedBenefitPlans=PensionDefinedBenefitPlans;NetDefinedBenefitLiabilityAsset=PlanAssets;,0
0xedbf2f96da3cd17fb20891bd5c14d5c2,TypesOfRisks=CreditRisk;,0
0x6a42485c2d0c347b9f2b8ed19c0350b9,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2029;,0
0x45c27388dee933b835bc03e616005142,SignificantInvestmentsInSubsidiaries=CamecoMarketingInc;,0
0x5af6f3bad24466892f5adaae815cfbde,ComponentsOfEquity=NoncontrollingInterests;SignificantInvestmentsInAssociates=WestinghouseElectricCompany;,0
0x39e484945d82ed7a5eaad1452014557f,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2038;,0
0x28b6a7b60b6a647cea1346e069933491,ClassesOfIntangibleAssetsAndGoodwill=IntellectualProperty;,0
0xaeca7334490189a7f11e46e0974c5d6e,CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmount=AccumulatedDepreciationAmortisationAndImpairment;ClassesOfIntangibleAssetsAndGoodwill=CustomerrelatedIntangibleAssets;,0
