adsh,tag,version,ddate,qtrs,uom,dimh,iprx,value,footnote,footlen,dimn,coreg,durp,datp,dcml
0001193125-24-075464,AccountingProfit,ifrs/2023,20221231,4,CAD,0x00000000,0,84795000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AccountingProfit,ifrs/2023,20231231,4,CAD,0x00000000,0,487153000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AccumulatedOtherComprehensiveIncome,ifrs/2023,20221231,0,CAD,0x00000000,0,34652000.0,,0,0,,0.0,0.0,-3
0001193125-24-075464,AccumulatedOtherComprehensiveIncome,ifrs/2023,20231231,0,CAD,0x00000000,0,-15282000.0,,0,0,,0.0,0.0,-3
0001193125-24-075464,AcquisitionCosts,0001193125-24-075464,20231231,4,CAD,0xba4840e18991fb58d7dafad0ca4a9e68,0,83916000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AcquisitionCosts,0001193125-24-075464,20231231,4,CAD,0xba4840e18991fb58d7dafad0ca4a9e68,1,84000000.0,,0,1,,0.01095891,0.0,-6
0001193125-24-075464,AcquisitiondateFairValueOfEquityInterestInAcquireeHeldByAcquirerImmediatelyBeforeAcquisitionDate,ifrs/2023,20221231,0,CAD,0x4f485fd4695fe949520de6b8c28656da,0,83675000.0,,0,1,,0.0,0.0,-3
0001193125-24-075464,AcquisitiondateFairValueOfEquityInterestInAcquireeHeldByAcquirerImmediatelyBeforeAcquisitionDate,ifrs/2023,20231231,0,CAD,0x4f485fd4695fe949520de6b8c28656da,0,81090000.0,,0,1,,0.0,0.0,-3
0001193125-24-075464,AcquisitiondateFairValueOfTotalConsiderationTransferred,ifrs/2023,20231031,0,USD,0x016479a1f95380e6e798e06d52a96552,0,2140305000.0,,0,1,,0.0,-7.0,0
0001193125-24-075464,AcquisitionrelatedCostsRecognisedAsExpenseForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs/2023,20221231,4,CAD,0x1c873fef5049c1b628c9c5104b7312d4,0,1495000.0,,0,1,,0.01095891,0.0,0
0001193125-24-075464,AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x00ea2ffd37f224336c0682cb2165bd87,0,97930000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x240f5755ad2c4d553a5cf9e24a6c03df,0,0.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x515c503fd395cc5a10d51f231ca59ef2,0,70000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x6053f29f68a91d154206e390683cc852,0,67998000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0xa10b6b8f4ac53fa05bdfe1b1649fab1b,0,2216000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0xdc7b62d0ab1ee42ae3b6229fc4a9e1fb,0,27646000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialAssumptionOfDentalCostTrendRates,0001193125-24-075464,20221231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.045,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDentalCostTrendRates,0001193125-24-075464,20231231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.045,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRates,ifrs/2023,20221231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.051,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRates,ifrs/2023,20221231,0,pure,0xa726e23f609fc1da9d72afe0e84a5456,0,0.045,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRates,ifrs/2023,20231231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.046,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRates,ifrs/2023,20231231,0,pure,0xa726e23f609fc1da9d72afe0e84a5456,0,0.038,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRatesPriorYearObligations,0001193125-24-075464,20221231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.029,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRatesPriorYearObligations,0001193125-24-075464,20221231,0,pure,0xa726e23f609fc1da9d72afe0e84a5456,0,0.023,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRatesPriorYearObligations,0001193125-24-075464,20231231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.051,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfDiscountRatesPriorYearObligations,0001193125-24-075464,20231231,0,pure,0xa726e23f609fc1da9d72afe0e84a5456,0,0.045,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfExpectedRatesOfSalaryIncreases,ifrs/2023,20221231,0,pure,0xa726e23f609fc1da9d72afe0e84a5456,0,0.03,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfExpectedRatesOfSalaryIncreases,ifrs/2023,20231231,0,pure,0xa726e23f609fc1da9d72afe0e84a5456,0,0.029,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfMedicalCostTrendRates,ifrs/2023,20221231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.05,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialAssumptionOfMedicalCostTrendRates,ifrs/2023,20231231,0,pure,0x7fa2f60a02213815d09a503479c49d01,0,0.05,,0,1,,0.0,0.0,3
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20221231,4,CAD,0x08408db647371054e1c9dd392e694260,0,-20913000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20221231,4,CAD,0x3d26e30e38f0c4b3eef73b3e7c9cbf89,0,-5881000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20231231,4,CAD,0x08408db647371054e1c9dd392e694260,0,4784000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20231231,4,CAD,0x3d26e30e38f0c4b3eef73b3e7c9cbf89,0,443000.0,,0,2,,0.01095891,0.0,-3
