adsh,report,rfile,menucat,shortname,longname,roleuri,parentroleuri,parentreport,ultparentrpt
0001193125-24-075464,1,H,C,Document and Entity Information,000010 - Document - Document and Entity Information,http://www.cameco.com/role/DocumentAndEntityInformation,,,
0001193125-24-075464,2,H,S,Consolidated statements of earnings,000100 - Statement - Consolidated statements of earnings,http://www.cameco.com/role/ConsolidatedStatementsOfEarnings,,,
0001193125-24-075464,3,H,S,Consolidated statements of comprehensive income,000200 - Statement - Consolidated statements of comprehensive income,http://www.cameco.com/role/ConsolidatedStatementsOfComprehensiveIncome,,,
0001193125-24-075464,4,H,S,Consolidated statements of comprehensive income (parenthetical),000250 - Statement - Consolidated statements of comprehensive income (parenthetical),http://www.cameco.com/role/ConsolidatedStatementsOfComprehensiveIncomeparenthetical,,,
0001193125-24-075464,5,H,S,Consolidated statements of financial position,000300 - Statement - Consolidated statements of financial position,http://www.cameco.com/role/ConsolidatedStatementsOfFinancialPosition,,,
0001193125-24-075464,6,H,S,Consolidated statements of changes in equity,000400 - Statement - Consolidated statements of changes in equity,http://www.cameco.com/role/ConsolidatedStatementsOfChangesInEquity,,,
0001193125-24-075464,7,H,S,Consolidated statements of cash flows,000500 - Statement - Consolidated statements of cash flows,http://www.cameco.com/role/ConsolidatedStatementsOfCashFlows,,,
0001193125-24-075464,8,H,N,Cameco Corporation,010101 - Disclosure - Cameco Corporation,http://www.cameco.com/role/CamecoCorporation,,,8.0
0001193125-24-075464,9,H,N,Material accounting policies,010201 - Disclosure - Material accounting policies,http://www.cameco.com/role/MaterialAccountingPolicies,,,9.0
0001193125-24-075464,10,H,N,Accounting standards,010301 - Disclosure - Accounting standards,http://www.cameco.com/role/AccountingStandards,,,10.0
0001193125-24-075464,11,H,N,Determination of fair values,010401 - Disclosure - Determination of fair values,http://www.cameco.com/role/DeterminationOfFairValues,,,11.0
0001193125-24-075464,12,H,N,Use of estimates and judgments,010501 - Disclosure - Use of estimates and judgments,http://www.cameco.com/role/UseOfEstimatesAndJudgments,,,12.0
0001193125-24-075464,13,H,N,Acquisitions,010600 - Disclosure - Acquisitions,http://www.cameco.com/role/Acquisitions,,,13.0
0001193125-24-075464,14,H,N,Accounts receivable,010701 - Disclosure - Accounts receivable,http://www.cameco.com/role/AccountsReceivable,,,14.0
0001193125-24-075464,15,H,N,Inventories,010801 - Disclosure - Inventories,http://www.cameco.com/role/Inventories,,,15.0
0001193125-24-075464,16,H,N,"Property, plant and equipment","010901 - Disclosure - Property, plant and equipment",http://www.cameco.com/role/PropertyPlantAndEquipment,,,16.0
0001193125-24-075464,17,H,N,Intangible assets,011001 - Disclosure - Intangible assets,http://www.cameco.com/role/IntangibleAssets,,,17.0
0001193125-24-075464,18,H,N,"Long-term receivables, investments and other","011101 - Disclosure - Long-term receivables, investments and other",http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOther,,,18.0
0001193125-24-075464,19,H,N,Equity-accounted investees,011201 - Disclosure - Equity-accounted investees,http://www.cameco.com/role/EquityaccountedInvestees,,,19.0
0001193125-24-075464,20,H,N,Accounts payable and accrued liabilities,011301 - Disclosure - Accounts payable and accrued liabilities,http://www.cameco.com/role/AccountsPayableAndAccruedLiabilities,,,20.0
0001193125-24-075464,21,H,N,Long-term debt,011401 - Disclosure - Long-term debt,http://www.cameco.com/role/LongtermDebt,,,21.0
0001193125-24-075464,22,H,N,Other liabilities,011501 - Disclosure - Other liabilities,http://www.cameco.com/role/OtherLiabilities,,,22.0
