tag,version,custom,abstract,datatype,iord,crdr,tlabel,doc
AccountsPayableAndAccruedLiabilitiesMember,0001193125-24-075464,1,1,member,,,Accounts Payable And Accrued Liabilities [Member],"This member stands for, Accounts payable and accrued liabilities."
AcquisitionCosts,0001193125-24-075464,1,0,monetary,D,D,Acquisition Costs,Acquisition costs
ActuarialAssumptionOfDentalCostTrendRates,0001193125-24-075464,1,0,percent,I,,Dental care cost trend rate,Dental cost trend rate used as significant actuarial assumption to determine the present value of a defined benefit obligation.
ActuarialAssumptionOfDiscountRatesPriorYearObligations,0001193125-24-075464,1,0,percent,I,,Discount rate - expense prior year obligations,The discount rate used as the significant actuarial assumption to determine the present value of a defined benefit expense.
Additionscontractliabilities,0001193125-24-075464,1,0,monetary,D,C,Additions Contract Liabilities,
AdjustmentDividendsExcessofOwnershipFromSignificantInvestmentsInAssociates,0001193125-24-075464,1,0,monetary,D,C,Adjustment Dividends Excess Of Ownership From Significant Investments In Associates,Adjustment to divdends declared in excess of ownerhips percentage from an investment in associates accounted for using the equity method
AdjustmentDividendsReceivedFromSignificantInvestmentsInAssociates,0001193125-24-075464,1,0,monetary,D,D,Adjustment dividends received from significant investments in associates,Adjustment to divdends declared from an investment in associates accounted for using the equity method
AdjustmentsForDecreaseIncreaseInSuppliesAndPrepaid,0001193125-24-075464,1,0,monetary,D,D,Adjustments For Decrease Increase In Supplies And Prepaid,Adjustments for decrease (increase) in supplies and prepaid to reconcile profit (loss) to net cash flow from (used in) operating activities.
AdjustmentsMember,0001193125-24-075464,1,1,member,,,Adjustments [Member],
AdjustmentToIncreaseDecreaseThroughNetExchangeDifferencesInvestmentProperty,0001193125-24-075464,1,0,monetary,D,D,Adjustment To Increase Decrease Through Net Exchange Differences Investment Property,"An adjustment to the increase (decrease) in investment property resulting from net exchange differences arising on the translation of the financial statements from the functional currency into a different presentation currency, including the translation of a foreign operation into the presentation currency of the reporting entity."
AdjustmentToShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,0001193125-24-075464,1,0,monetary,D,C,Adjustment to share of profit loss of associates and joint ventures accounted for using equity method,Adjustment to entity's proportionate share of earnings such as eliminations for unrealized profit and amortisation of historical differences in accounting policies
AdministrativeCostsPostemploymentBenefitPlan,0001193125-24-075464,1,0,monetary,D,D,Administrative costs postemployment benefit plan,The amount of administration cost related to postemployment benefit plan.
AfterAcquiringAdditionalInterestInJointVentureMember,0001193125-24-075464,1,1,member,,,After acquiring additional interest in Joint Venture [Member],After acquiring additional interest in Joint Venture
AmortisationOfFinancingCosts,0001193125-24-075464,1,0,monetary,D,D,Amortization of issue costs,The amount of financing costs amortised during the period.
AmountsReceivableFromTaxAuthorityRelatedToTaxDisputes,0001193125-24-075464,1,0,monetary,I,D,Receivables From Taxes Other Than Income Tax,Receivables from the tax authroities related to income tax disputes.
AmountsReceivedDuringPeriodFromTaxAuthorityRelatedToTaxDisputes,0001193125-24-075464,1,0,monetary,D,C,Amounts Received During Period From Tax Authority Related To Tax Disputes,Amounts Received During Period From Tax Authority Related To Tax Disputes
AssumptionsDefinedBenefitObligationNetPensionOtherBenefitExpenseAbstract,0001193125-24-075464,1,1,,,,Assumptions defined benefit obligation and net pension and other benefit expense,
AvailableLoanPayableQuantity,0001193125-24-075464,1,0,mass,I,,Available loan payable quantity,Total available standby product loan facility to the corporation.
BeforeAcquiringAdditionalInterestInJointVentureMember,0001193125-24-075464,1,1,member,,,Before acquiring additional interest in Joint Venture [Member],Before acquiring additional interest in Joint Venture
BorrowingInterestRateBasis,0001193125-24-075464,1,0,percent,I,,"Borrowing, Interest Rate Basis","Borrowing, Interest Rate Basis"
BorrowingsStandbyInterestRate,0001193125-24-075464,1,0,percent,I,,Borrowings standby interest rate,Standyby interest rate of product loan facility when the borrowing is not drawn upon.
BrookfieldRenewablePartnersMember,0001193125-24-075464,1,1,member,,,Brookfield Renewable Partners [Member],
BusinessCombinationAmountInEscrow,0001193125-24-075464,1,0,monetary,I,D,"Business Combination, Amount In Escrow","Business Combination, Amount In Escrow"
CamecoAustraliaPtyLtdMember,0001193125-24-075464,1,1,member,,,Cameco Australia Pty. Ltd. [member],Cameco Australia Pty. Ltd.
CamecoEuropeLtdMember,0001193125-24-075464,1,1,member,,,Cameco Europe Ltd. [member],Cameco Europe Ltd.
CamecoFuelManufacturingIncMember,0001193125-24-075464,1,1,member,,,Cameco Fuel Manufacturing Inc. [member],Cameco Fuel Manufacturing Inc.
CamecoIncMember,0001193125-24-075464,1,1,member,,,Cameco Inc. [member],Cameco Inc.
