adsh,grp,arc,negative,ptag,pversion,ctag,cversion
0001193125-24-036626,12,27,1,EquityAttributableToOwnersOfParent,ifrs/2023,AccumulatedOtherComprehensiveIncome,ifrs/2023
0001193125-24-036626,4,3,1,CurrentTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,ifrs/2023,AdjustmentsForCurrentTaxOfPriorPeriod,ifrs/2023
0001193125-24-036626,17,2,-1,IncreaseDecreaseInWorkingCapital,ifrs/2023,AdjustmentsForDecreaseIncreaseInInventories,ifrs/2023
0001193125-24-036626,17,3,-1,IncreaseDecreaseInWorkingCapital,ifrs/2023,AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,ifrs/2023
0001193125-24-036626,17,1,-1,IncreaseDecreaseInWorkingCapital,ifrs/2023,AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,ifrs/2023
0001193125-24-036626,4,6,1,DeferredTaxExpenseIncomeAndAdjustmentsForDeferredTaxOfPriorPeriods,0001193125-24-036626,AdjustmentsForDeferredTaxOfPriorPeriods,ifrs/2023
0001193125-24-036626,9,4,1,CashFlowsFromUsedInOperations,ifrs/2023,AdjustmentsForDepreciationExpense,ifrs/2023
0001193125-24-036626,9,5,1,CashFlowsFromUsedInOperations,ifrs/2023,AdjustmentsForFinanceCosts,ifrs/2023
0001193125-24-036626,9,6,1,CashFlowsFromUsedInOperations,ifrs/2023,AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,ifrs/2023
0001193125-24-036626,17,12,1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLossInventories,ifrs/2023
0001193125-24-036626,9,7,1,CashFlowsFromUsedInOperations,ifrs/2023,AdjustmentsForIncomeTaxExpense,ifrs/2023
0001193125-24-036626,17,5,-1,IncreaseDecreaseInWorkingCapital,ifrs/2023,AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,ifrs/2023
0001193125-24-036626,17,4,-1,IncreaseDecreaseInWorkingCapital,ifrs/2023,AdjustmentsForIncreaseDecreaseInTradeAccountPayable,ifrs/2023
0001193125-24-036626,9,10,1,CashFlowsFromUsedInOperations,ifrs/2023,AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets,ifrs/2023
