dimhash,segments,segt
0x58212f1bfd89bc09386f34f5a0b2a01a,EquityComponents=StockOption;,0
0x67850a845c93068ab03fbf83c85f7a0d,EquityComponents=CommonStock;,0
0xb8e3a0cec348466fd3373dcc7aaa72ef,EquityComponents=Warrant;,0
0x2bea873ec009ac34c4d14deb5c0cc4f0,EquityComponents=AccumulatedOtherComprehensiveIncome;,0
0x985f6fdd6365b6cde8c2652f6dc6a73a,EquityComponents=NoncontrollingInterest;,0
0xaff49d53012fa8fe16e4b169dde56fd7,EquityComponents=RetainedEarnings;,0
0x03b6dd82aa1f7fd74401d4b34f93b482,EquityComponents=AdditionalPaidInCapital;,0
0x09e42e23e93013498ba4d70bc7c1e350,EquityComponents=Parent;,0
0x60dab67df4f9660b637683f2da576524,SegmentReportingInformationBySegment=Gold;,0
0xe82c7e434d4e6caa6dd7dde2bdcb4eeb,ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=UnrealizedGain;,0
0xd756de67240d8210d5c9f28056cfff02,SegmentReportingInformationBySegment=NoncontrollingOwnerFive;,0
0x4de3078304d153e921de8e57ad2a3ad1,DerivativeByNature=AUDFixedForwardContracts;DerivativesFairValueByBalanceSheetLocation=OtherCurrentAsset;,0
0x97f9669e87ba45d09d2534c9863d5300,SegmentReportingInformationBySegment=Europe;,0
0x400e1f850d02fad69fb194e477b15e21,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecurities=StockOptions;,0
0x2d2816d7963ce7872d18f97321141cfe,ComponentOfOtherOperatingCostAndExpenseGeneral=MinimumRoyaltyPayableYearOne;,0
0x7dd07ab2dde4846c4537fa73725c9ca8,SegmentReportingInformationBySegment=Segmentgeographicalcountrysubtotalthreemember;,0
0x4ee3fcd2b4950ca549768d0d804f3127,SegmentReportingInformationBySegment=SegmentGeographicalCountryFifteen;,0
0x8ef68ad2659640a4c81a08ab911108d1,DebtInstrument=NonCurrent;LongtermDebtType=SeniorNotesNetOfDiscountThree;,0
0x9b672f51fcb41fa5fa44a549e863bf34,DerivativeByNature=DieselFixedForwardContracts;ScheduleOfHeldToMaturitySecuritiesMajorTypesOfDebtAndEquitySecurities=ExpectedMaturityDateYearThree;,0
0x494c56b9e4e8dfe0ceec135b03322e45,ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=LessThanTwelveMonthsFairValue;,0
0x139281059eff50e47de85f90cba6680b,LegalEntity=SubsidairyFour;,0
0x256586f1c37e79d6fc45bb9af8b766c7,DerivativesFairValueByDerivativeInstrumentRisk=USDVersusAUD;InvestmentType=ForeignExchangeForward;ScheduleOfHeldToMaturitySecuritiesMajorTypesOfDebtAndEquitySecurities=ExpectedMaturityDateYearFour;,0
0x5232cd9af8b95661373b10f3cde891f7,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel1;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=ExtractiveIndustries;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=EquitySecurities;,0
0x1156f07b3b05da620fa5b42318598352,FairValueAssetsandLiabilitiesMeasuredonRecurringBasisDisclosureItems=FairValueInputsLevel1;,0
0x870979ab91561381d34b318f65c10ace,DerivativeByNature=IDRFixedForwardContracts;DerivativesFairValueByBalanceSheetLocation=OtherLongTermLiabilities;,0
0xa9fe82448250b89ad7901dca7ab9650b,InvestmentType=CallOptionsWritten;,0
0xfe8d402d7e2cbb58687c0ab8e1d3e092,DerivativesFairValueByDerivativeInstrumentRisk=USDVersusNZD;InvestmentType=ForeignExchangeForward;ScheduleOfHeldToMaturitySecuritiesMajorTypesOfDebtAndEquitySecurities=ExpectedMaturityDateYearFour;,0
0x0a0ba99e49735a2e4d7e8d3dda0ad592,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecurities=OtherStockBasedCompensationAwards;,0
0xc9a338017502f24bbafc309e19710e1b,DefinedBenefitPlansDisclosuresDefinedBenefitPlans=OtherPostretirementBenefitPlansDefinedBenefit;,0
0x2e2783cbf36e405804b5682871544590,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecurities=PerformanceLeveragedCommonStock;,0
0x2749c6cc6383cdfbc953f36a3ca20e14,SegmentReportingInformationBySegment=SegmentGeographicalCountryOne;,0
0x8e5ee04c28d24505522efea2cd223c7a,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel3;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=InterestRateSwap;,0
0x2df1f5d211442ba7fc125f3758c8d53b,SubsequentEventType=Acquisition;,0
0xa10962cdaaae421ffc92978f616ac522,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel2;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=AssetBackedSecurities;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=DebtSecurities;,0
0x54ae09dac7f3bbbffea549d3601dc4ec,DerivativeByNature=IDRFixedForwardContracts;DerivativesFairValueByBalanceSheetLocation=OtherLongTermAsset;,0
0xd6236224d6f1fb568046139db219a23b,LegalEntity=SubsidairyEight;,0
0xbe1a731f9bbe1b3f422ebbbf1909f360,DerivativeByNature=AUDFixedForwardContracts;DerivativesFairValueByBalanceSheetLocation=OtherCurrentLiabilities;,0
0x48a947acd5515045aeeffeed8cc4c5de,DerivativesFairValueByDerivativeInstrumentRisk=IDRVersusUSD;InvestmentType=ForeignExchangeForward;ScheduleOfHeldToMaturitySecuritiesMajorTypesOfDebtAndEquitySecurities=ExpectedMaturityDateYearThree;,0
0x877ad6f1636e90656ef46c145e560517,DebtInstrument=NonCurrent;LongtermDebtType=ConvertibleSeniorNotesNetOfDiscountThree;,0
0xfc90c0ae8fef31fb54bd4570664faa66,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel3;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=OtherProjectTwo;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=DebtSecurities;,0
0x950088ddc81c0dec96527a22e87db2de,ComponentOfOtherOperatingCostAndExpenseGeneral=MinimumRoyaltyPayableYearThree;,0
0xb8d5dcfb011f3c10ba7d5a3c0a60034b,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel1;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=OtherIndustries;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=EquitySecurities;,0
0x577de63e78bf78d24f05fc9b4798853b,SegmentReportingInformationBySegment=SegmentGeographicalCountryTen;,0
0x1601a53b5987774e70f3266a1aede491,ComponentOfOtherOperatingCostAndExpenseGeneral=MinimumRoyaltyPayableThereafter;,0
0xcf2e57d5ff8d1818f513700a2b62343b,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel1;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=AssetBackedSecurities;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=DebtSecurities;,0
0xeebd5a21d19387b64abf74d1225dcbb3,InvestmentType=ForeignExchangeForward;,0
0x4cc0d853f44c3c9ae94e923d06e62fe2,LegalEntity=SubsidairyTwo;,0
0xc1804d3797a2ed17f571a87b35ed12e3,SegmentReportingInformationBySegment=Subika;,0
0xfc34a1d6f5c157499835194228f95524,FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=AuctionRateSecurities;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=DebtSecurities;,0
0xbf204a75db917a42b52139ec55b9de2b,InvestmentType=ForeignExchangeForward;ScheduleOfHeldToMaturitySecuritiesMajorTypesOfDebtAndEquitySecurities=ExpectedMaturityDateYearFour;,0
0x87e11194e0c43839d3ba822b0ef6d7f5,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel1;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=AuctionRateSecurities;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=DebtSecurities;,0
0xf219c5badbc6f2b5f64a7dde98bcc209,InvestmentType=ForeignExchangeForward;ScheduleOfHeldToMaturitySecuritiesMajorTypesOfDebtAndEquitySecurities=ExpectedMaturityDateYearOne;,0
0xe680ac083c0b71b6ea98f6fc60cb6924,AvailableforSaleSecuritiesPositionType=AvailableForSaleSecuritiesUnrealizedGainPosition;,0
0x7265d905c281bc7986ab43294274f823,DerivativeByNature=InterestRateSwap;DerivativesFairValueByBalanceSheetLocation=OtherLongTermLiabilities;,0
0x19b991ef1f5493e3b477dd7d7d181b0e,FairValueAssetsLiabilitiesMeasuredOnRecurringBasisDisclosureItems=FairValueInputsLevel3;FairValueAssetsMeasuredOnRecurringBasisUnobservableInputReconciliationByAssetType=AuctionRateSecurities;ScheduleOfTradingSecuritiesAndOtherTradingAssetsMajorTypesOfTradingSecuritiesAndAssets=DebtSecurities;,0
0x9ff7a43463825ceab8efbb0322dcca22,FairValueAssetsandLiabilitiesMeasuredonRecurringBasisDisclosureItems=FairValueInputsLevel2;,0
0x38b6b3a026195b2c2e7e03925773762a,SegmentReportingInformationBySegment=OtherProjectTwo;,0
0xb8c93aa188385d5c17a13e17e2165d79,DerivativeByNature=DieselFixedForwardContracts;DerivativesFairValueByBalanceSheetLocation=OtherLongTermLiabilities;,0
