adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,pubfloatusd,floatdate,floataxis,floatmems
0000891618-09-000150,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80222,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80222,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20090331.0,2009.0,Q1,20090430,2009-04-29 21:32:00.0,0,0,nem-20090331.xml,1,,23670310912.0,20080630.0,,
0000950123-09-024448,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20090630.0,2009.0,Q2,20090723,2009-07-22 19:17:00.0,0,0,nem-20090630.xml,1,,23670310912.0,20080630.0,,
0000950123-09-054293,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20090930.0,2009.0,Q3,20091029,2009-10-28 17:52:00.0,0,0,nem-20090930.xml,1,,23670310912.0,20080630.0,,
0000950123-10-016613,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-K,20091231.0,2009.0,FY,20100225,2010-02-25 06:06:00.0,0,0,nem-20091231.xml,1,,20005984256.0,20090630.0,,
0001047469-10-002778,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,1,1231.0,20-F,20091231.0,2009.0,FY,20100326,2010-03-26 16:07:00.0,0,0,aem-20091231.xml,1,,,,,
0001104659-10-017012,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,,,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,40-F,20091231.0,2009.0,FY,20100329,2010-03-29 17:07:00.0,0,0,abx-20091231.xml,1,,,,,
0000950123-10-038469,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20100331.0,2010.0,Q1,20100427,2010-04-27 06:04:00.0,0,0,nem-20100331.xml,1,,20005984256.0,20090630.0,,
0001047469-10-005246,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,0,1231.0,6-K,20100331.0,2010.0,Q1,20100513,2010-05-13 15:38:00.0,0,0,aem-20100331.xml,1,,,,,
0000950123-10-068690,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20100630.0,2010.0,Q2,20100728,2010-07-27 20:46:00.0,0,1,nem-20100331.xml,1,,20005984256.0,20090630.0,,
0001047469-10-007421,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,0,1231.0,6-K,20100630.0,2010.0,Q2,20100812,2010-08-12 11:56:00.0,0,1,aem-20100630.xml,1,,,,,
0000950123-10-098972,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-Q,20100930.0,2010.0,Q3,20101102,2010-11-01 19:55:00.0,0,1,nem-20100930.xml,1,,20005984256.0,20090930.0,,
0001047469-10-009664,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,0,1231.0,6-K,20100930.0,2010.0,Q3,20101112,2010-11-12 11:16:00.0,0,1,aem-20100930.xml,1,,,,,
0000950123-11-017350,1164727,NEWMONT MINING CORP /DE/,1040.0,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,303-863-7414,US,CO,GREENWOOD VILLAGE,80111,6363 SOUTH FIDDLERS GREEN CIRCLE,,US,DE,841611629.0,DELTA HOLDCO CORP,20020109.0,1-LAF,1,1231.0,10-K,20101231.0,2010.0,FY,20110224,2011-02-23 20:55:00.0,0,1,nem-20101231.xml,1,,3.0366217646637056e+16,20100630.0,,
0001047469-11-002754,2809,AGNICO EAGLE MINES LTD,1040.0,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,4169471212,CA,ON,TORONTO,M5C 2Y7,145 KING STREET EAST,SUITE 400,CA,ON,0.0,,,1-LAF,1,1231.0,20-F,20101231.0,2010.0,FY,20110328,2011-03-28 17:10:00.0,0,1,aem-20101231.xml,1,,,,,
0001104659-11-017950,756894,BARRICK GOLD CORP,1040.0,CA,ON,TORONTO ONTARIO CANA,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",161 BAY STREET SUITE 3700,4163077470,CA,ON,ONTARIO M5J2S1,M5J2S1,"BCE PLACE, CANADA TRUST TOWER",P O BOX 212 TORONTO,,,0.0,BARRICK RESOURCES CORP,19860109.0,,0,1231.0,40-F,20101231.0,2010.0,FY,20110331,2011-03-31 15:55:00.0,1,1,abx-20101231.xml,1,,,,,
